feature,delta_value,p_value,corrected_p_value
CDKN1A,-90.18,6.978566160287988e-06,0.13393962031440737
MDM2,-27.965000000000007,2.234459338906884e-05,0.14528903301865295
BTG2,-8.569999999999999,2.7654304776468616e-05,0.14528903301865295
AIFM1,37.775000000000006,3.0279587978669923e-05,0.14528903301865295
DDB2,-31.745,5.815675853886271e-05,0.186033777772732
FDXR,-20.495,5.6483508611364865e-05,0.186033777772732
PHLDA3,-46.06000000000001,6.922463593495009e-05,0.18980406249992815
CYFIP2,-17.030000000000005,8.710576942698563e-05,0.20814775649391304
PTCHD4,-0.78,9.760484595661008e-05,0.20814775649391304
TNFRSF10B,-37.25500000000001,0.00011890853157777807,0.22822114465722948
IRAK1,113.53500000000001,0.00015277376455272228,0.2665624420963999
DCP1B,-3.914999999999999,0.00017293191227933023,0.27659018269809876
APOBEC3H,-0.3149999999999999,0.00020096845084286124,0.29670672900207967
LAGE3,31.539999999999992,0.00024945446863196844,0.3419842583180979
CENPW,42.51,0.0002851180836316126,0.3648180919427694
SNX15,7.455000000000002,0.00031286686558222273,0.37530335944497506
EBP,49.7,0.0003386438531250962,0.3823289101782336
SESN1,-4.7899999999999965,0.00038105845205068625,0.38998770358854895
ZNF844,1.56,0.0003860660849363013,0.38998770358854895
CCNQ,15.739999999999998,0.00041742678370128495,0.40058361297893813
ZMAT3,-5.98,0.0006613588198310332,0.45595132625024215
BBC3,-4.450000000000001,0.0007130800498702394,0.45595132625024215
INPP5D,-0.655,0.000740327297644102,0.45595132625024215
ERICH6,0.16999999999999996,0.0007590259919143456,0.45595132625024215
SLC9A6,4.145,0.0008077082838799684,0.45595132625024215
ARHGEF18,5.329999999999995,0.000722057193581615,0.45595132625024215
MTFR2,7.149999999999997,0.0007977459249048793,0.45595132625024215
SPC24,13.850000000000001,0.0007977459249048793,0.45595132625024215
SH3GLB1,16.015000000000008,0.0005263703656759285,0.45595132625024215
ATG3,20.524999999999977,0.0006054333433387706,0.45595132625024215
DDX27,21.099999999999994,0.0006368269972395224,0.45595132625024215
IDH3G,29.544999999999995,0.0007977459249048793,0.45595132625024215
HSD17B10,46.68999999999991,0.0007977459249048793,0.45595132625024215
HMGB3,96.59000000000002,0.0005196817418883766,0.45595132625024215
GDF15,-92.32,0.0009027080703923452,0.4682615133794671
TMEM128,-8.009999999999998,0.0008807431907417271,0.4682615133794671
HPRT1,42.855000000000025,0.0009027080703923452,0.4682615133794671
RPS27L,-116.54500000000004,0.0012089914694474446,0.4959607395665089
AEN,-18.575,0.0012236287462312576,0.4959607395665089
ACTA2,-13.194999999999999,0.0011945160806290716,0.4959607395665089
NRN1L,-0.1399999999999999,0.001498873337151676,0.4959607395665089
MYLK2,0.47,0.0013958016448548617,0.4959607395665089
ZNF836,3.21,0.0013792724235759761,0.4959607395665089
PEX3,3.6650000000000027,0.0012685283340029632,0.4959607395665089
ATG4A,4.584999999999997,0.0016279647055014881,0.4959607395665089
MID2,5.234999999999999,0.0015529978108925432,0.4959607395665089
ZC3HAV1,6.555000000000007,0.001362923892081873,0.4959607395665089
MECP2,7.009999999999998,0.001362923892081873,0.4959607395665089
SFMBT1,8.255000000000004,0.0015347595061735125,0.4959607395665089
HS2ST1,8.385000000000003,0.0012685283340029632,0.4959607395665089
CENPI,9.75499999999999,0.0009957423597907974,0.4959607395665089
KIF4A,12.695,0.0011520450981421847,0.4959607395665089
CMC4,12.895000000000003,0.001463761656356755,0.4959607395665089
HAUS7,16.21,0.001020349131629548,0.4959607395665089
FAM122B,16.82000000000001,0.0012993012069656912,0.4959607395665089
ARMC6,20.575000000000017,0.001498873337151676,0.4959607395665089
RTL8A,35.235000000000014,0.001498873337151676,0.4959607395665089
EMD,35.245000000000005,0.001608916977233326,0.4959607395665089
POR,40.82499999999999,0.0012685283340029632,0.4959607395665089
TECR,41.724999999999994,0.001429409371272307,0.4959607395665089
TRAPPC2L,44.50999999999999,0.001608916977233326,0.4959607395665089
PLP2,141.27499999999992,0.0012993012069656912,0.4959607395665089
SLC25A5,315.9750000000005,0.00109758679389222,0.4959607395665089
LMBR1L,-6.150000000000002,0.0019397281129030406,0.5030973198776765
EDA2R,-5.78,0.0018301858156916089,0.5030973198776765
TRIM22,-4.085000000000001,0.0017263542365809883,0.5030973198776765
MUC19,-0.1400000000000001,0.0018089714004811182,0.5030973198776765
ZNF101,2.785,0.0018952082465515793,0.5030973198776765
ZNF585B,2.9400000000000004,0.0018089714004811182,0.5030973198776765
PRELID2,3.4600000000000026,0.0018516286234253273,0.5030973198776765
PRKAR2A,7.319999999999993,0.0018952082465515793,0.5030973198776765
NSDHL,14.074999999999996,0.0019397281129030406,0.5030973198776765
TPX2,40.780000000000044,0.0017672190261418823,0.5030973198776765
MYBL2,50.844999999999985,0.0017263542365809883,0.5030973198776765
FAM83D,21.384999999999977,0.0021521964118700276,0.5507614097736192
XPC,-8.579999999999995,0.002990243325136248,0.564310713041638
ZNF337,-4.635000000000002,0.0029569791910378823,0.564310713041638
TP53INP1,-3.04,0.002440781581513841,0.564310713041638
SPATA18,-0.71,0.002642431273269193,0.564310713041638
ACRV1,0.1300000000000001,0.0027334245840100364,0.564310713041638
SHOC1,0.3,0.0025833164195763333,0.564310713041638
ZNF563,1.25,0.0023858110879844676,0.564310713041638
BORCS6,2.2200000000000024,0.002764386077776598,0.564310713041638
RTN4IP1,2.8699999999999974,0.0024969089151415476,0.564310713041638
SPATA33,3.7400000000000038,0.0025833164195763333,0.564310713041638
NKRF,4.204999999999998,0.003057797851108756,0.564310713041638
CDC25C,4.279999999999994,0.002924053038310022,0.564310713041638
KHDC1,4.914999999999999,0.0030238485131691283,0.564310713041638
GNL3L,4.995000000000003,0.003057797851108756,0.564310713041638
OASL,5.03,0.0024686992988398886,0.564310713041638
KPNA6,5.925000000000001,0.0027334245840100364,0.564310713041638
FMR1,9.209999999999987,0.002554214727925123,0.564310713041638
RPP40,12.364999999999998,0.002924053038310022,0.564310713041638
BCL7B,16.15500000000001,0.0027334245840100364,0.564310713041638
ZBTB8OS,17.71499999999999,0.002612721000793195,0.564310713041638
SLFN13,19.355,0.0028272720911168125,0.564310713041638
MRPS22,20.455000000000013,0.002990243325136248,0.564310713041638
PTGES2,21.559999999999995,0.002924053038310022,0.564310713041638
HTATSF1,22.195000000000007,0.003057797851108756,0.564310713041638
PSMG1,24.159999999999982,0.0027027802082534606,0.564310713041638
PPIH,33.90000000000002,0.002612721000793195,0.564310713041638
AURKA,36.799999999999955,0.0024969089151415476,0.564310713041638
DKC1,67.48999999999995,0.0023054779179243526,0.564310713041638
AK2,84.02999999999997,0.002990243325136248,0.564310713041638
PROB1,1.5699999999999998,0.0030920944584652845,0.5652054184888019
MRGBP,9.870000000000001,0.0031267414784166116,0.5661466905212267
TMEM68,-3.485000000000003,0.0033421612955304523,0.5727330512956783
SLC16A11,0.1399999999999999,0.0032688973833879605,0.5727330512956783
GNB1L,5.565000000000003,0.0033421612955304523,0.5727330512956783
TMEM38B,5.745000000000003,0.0033421612955304523,0.5727330512956783
DNMT1,57.20500000000004,0.0033421612955304523,0.5727330512956783
UBE2C,91.33000000000007,0.0031970994479345372,0.5727330512956783
WDR73,-8.354999999999997,0.0034931930531829137,0.5730329424764073
GTF2A1L,-0.02,0.0034931930531829137,0.5730329424764073
SLC25A14,3.6799999999999997,0.0034169175863327894,0.5730329424764073
PRPF6,13.195000000000007,0.0034169175863327894,0.5730329424764073
E2F1,15.880000000000006,0.0034931930531829137,0.5730329424764073
LUC7L,-10.2,0.003650410706933717,0.5755425796632023
CREB3L3,0.12000000000000001,0.003571014893095978,0.5755425796632023
ZSCAN5A,3.6700000000000017,0.003855971201804756,0.5755425796632023
CXorf56,4.930000000000003,0.003898324147148247,0.5755425796632023
SUV39H1,5.3349999999999955,0.003814036704437707,0.5755425796632023
GPR157,6.774999999999997,0.003898324147148247,0.5755425796632023
FOXRED1,9.585,0.003731408503632275,0.5755425796632023
MACROD1,13.124999999999986,0.003855971201804756,0.5755425796632023
NABP2,14.820000000000022,0.003731408503632275,0.5755425796632023
CDCA8,21.075000000000003,0.003650410706933717,0.5755425796632023
KIF20A,21.699999999999996,0.003650410706933717,0.5755425796632023
VBP1,24.720000000000027,0.003814036704437707,0.5755425796632023
PQBP1,47.620000000000005,0.003731408503632275,0.5755425796632023
H3C1,0.5599999999999999,0.003941099210976215,0.5774161614982175
LIMCH1,-13.455,0.003984300090362517,0.5788742076144796
SESN2,-4.1,0.004116494993890924,0.5788742076144796
ACTR5,2.3049999999999997,0.004206822994625667,0.5788742076144796
ZNF90,4.095000000000001,0.004206822994625667,0.5788742076144796
RPS10-NUDT3,5.9750000000000085,0.004071994217732759,0.5788742076144796
EEF1AKMT4,12.280000000000003,0.004027930509079839,0.5788742076144796
RAB8A,14.999999999999993,0.004161436642222147,0.5788742076144796
MRPL11,25.51000000000002,0.004161436642222147,0.5788742076144796
HSPA1B,58.94,0.004252657910365322,0.5788742076144796
PDHA1,69.82,0.004252657910365322,0.5788742076144796
SLFN11,25.744999999999994,0.004298945276202853,0.5810539203250801
MRPL37,43.26999999999998,0.004392893043507346,0.5895999733149405
C12orf57,-56.964999999999975,0.004736546921776037,0.5953653277894896
ISCU,-24.805000000000014,0.004635957763909796,0.5953653277894896
COL27A1,-6.005000000000001,0.004635957763909796,0.5953653277894896
NRXN3,-0.5599999999999999,0.004686007997671276,0.5953653277894896
LGI2,-0.07,0.004787578705291861,0.5953653277894896
DAND5,0.2649999999999999,0.004839107546249173,0.5953653277894896
ALPG,0.37999999999999995,0.004635957763909796,0.5953653277894896
RDM1,2.5900000000000003,0.004839107546249173,0.5953653277894896
RBMX2,5.2150000000000105,0.0044886979456543906,0.5953653277894896
BRCC3,9.539999999999996,0.004686007997671276,0.5953653277894896
CMSS1,19.420000000000037,0.004686007997671276,0.5953653277894896
MRPL4,34.24000000000002,0.004635957763909796,0.5953653277894896
NDUFS8,54.269999999999996,0.004839107546249173,0.5953653277894896
CEP85,8.61,0.004943673338220224,0.5967542288079294
MRPL3,30.745000000000005,0.004943673338220224,0.5967542288079294
GNG5,50.425000000000054,0.004943673338220224,0.5967542288079294
IL22RA1,1.095,0.0051043565878400345,0.6122994749400862
LAMB1,-96.74,0.005158957570721308,0.6150054202164849
PSTPIP2,-2.79,0.005269745768258964,0.6167209178670384
GPKOW,6.210000000000001,0.005269745768258964,0.6167209178670384
KEAP1,29.590000000000018,0.005269745768258964,0.6167209178670384
MOSPD1,13.745000000000005,0.005325941882081928,0.6186212661094775
NQO2,19.935000000000002,0.005382678655774644,0.6186212661094775
DIAPH1,33.31500000000002,0.005382678655774644,0.6186212661094775
HTR3A,0.04,0.005497792314777269,0.6243735378551487
ERCC6L,2.8150000000000013,0.005497792314777269,0.6243735378551487
PITX2,-2.2,0.005615123315562617,0.6265759406720541
PNMA6E,0.01,0.005615123315562617,0.6265759406720541
PPP2R5D,13.015,0.005615123315562617,0.6265759406720541
SLC18A2,-0.024999999999999998,0.005734708721409232,0.6289500828000422
KPNA7,0.705,0.005734708721409232,0.6289500828000422
ASF1B,18.514999999999993,0.005734708721409232,0.6289500828000422
MTCP1,1.9449999999999994,0.00579535854433471,0.6302082931051194
BLOC1S3,2.744999999999999,0.00610736948458043,0.6302082931051194
PIK3CB,4.4950000000000045,0.00610736948458043,0.6302082931051194
TCEAL1,11.030000000000008,0.005980793491396825,0.6302082931051194
DBF4,11.570000000000004,0.00610736948458043,0.6302082931051194
UBL4A,13.835000000000008,0.00610736948458043,0.6302082931051194
NACC1,19.444999999999986,0.00610736948458043,0.6302082931051194
DPP3,28.41000000000001,0.00610736948458043,0.6302082931051194
RNASEH2A,44.12000000000005,0.005980793491396825,0.6302082931051194
CCNB1,75.13499999999999,0.00610736948458043,0.6302082931051194
NDUFA1,166.09500000000037,0.005856586092761284,0.6302082931051194
TRIAP1,-18.090000000000003,0.006236353149198851,0.6400766095859549
CEP70,6.455000000000002,0.006301760210186658,0.6433493814580453
CCL5,1.335,0.006367784075878236,0.6466501575043967
SEC14L4,0.6799999999999999,0.006434429776045916,0.6499331960758303
SLC35F2,18.289999999999996,0.006501702373081823,0.6499331960758303
ACAT1,41.17499999999997,0.006501702373081823,0.6499331960758303
PPM1D,-2.755000000000001,0.006777164126537559,0.6541494809665201
TXNDC2,0.15000000000000005,0.006918790425478226,0.6541494809665201
HIGD1B,0.16500000000000006,0.006918790425478226,0.6541494809665201
NT5DC1,6.510000000000002,0.006638148671186608,0.6541494809665201
FKBP5,11.085,0.006918790425478226,0.6541494809665201
