feature,delta_value,p_value,corrected_p_value
RG7112,1.778008741770484,2.946919072813161e-06,0.01784116721956266
IDASANUTLIN,2.2521662810820002,1.1261585746922934e-05,0.01784116721956266
SAR405838,2.527075087639183,6.3360778439838605e-06,0.01784116721956266
MILADEMETAN,3.1967994160737874,1.0520141007728528e-05,0.01784116721956266
AMG-232,1.9237028988354998,1.4119731392136015e-05,0.017895347566393185
CGM097,2.0557419687128,6.756602497705711e-05,0.07136098337993514
ML-348,-0.2911347664383075,0.00032039128041305877,0.2900456491396505
PIM-1-INHIBITOR-2,-0.49441336867029656,0.0012168995920836443,0.9639365893792567
ACELARIN,-1.7276343444436102,0.06264933199692964,0.9989488049122789
INARIGIVIR,-1.6780671559080353,0.03336817208863601,0.9989488049122789
10-DEACETYLBACCATIN,-1.637070521688,0.004249922653793614,0.9989488049122789
TOLONIUM,-1.55673029348318,0.2274956824321176,0.9989488049122789
CETRIMONIUM,-1.5495895065249998,0.057051221135485206,0.9989488049122789
TRIAPINE,-1.50313348939,0.11085770069807094,0.9989488049122789
JD-5037,-1.4424861006335354,0.07465064362416322,0.9989488049122789
ARV-825,-1.4194643298979654,0.014029144746888274,0.9989488049122789
OTX015,-1.417450180266,0.004895599021979708,0.9989488049122789
S-TRITYL-L-CYSTEINE,-1.3442091098238802,0.13557428448164474,0.9989488049122789
SC-144,-1.32502721408,0.12574977526365333,0.9989488049122789
BIRINAPANT,-1.301447924046,0.0506882958155185,0.9989488049122789
OMTRIPTOLIDE,-1.2526594285683652,0.3177359398949019,0.9989488049122789
PIM-447,-1.2424779775927202,0.3247491255114503,0.9989488049122789
CEP-40783,-1.21647327347423,0.03844093941354244,0.9989488049122789
E7820,-1.2120979958748848,0.12576257522303633,0.9989488049122789
TC-S-7003,-1.188834729292445,0.13935575606281533,0.9989488049122789
NSC-663284,-1.169212237785,0.13187256310607273,0.9989488049122789
PFI-1,-1.148695051036,0.1396973585567212,0.9989488049122789
BI-78D3,-1.142004598545,0.0675337744939399,0.9989488049122789
AMETANTRONE,-1.11100899704868,0.04727069870122057,0.9989488049122789
TW-37,-1.08737583462,0.07152776394708646,0.9989488049122789
AMISELIMOD,-1.0829722838345859,0.713929292761325,0.9989488049122789
POLYDATIN,-1.0685611942070001,0.027837385118214902,0.9989488049122789
SATRAPLATIN,-1.0670541381999998,0.005108494900763766,0.9989488049122789
MG-132,-1.0201096047100005,0.04841110181415078,0.9989488049122789
THONZONIUM,-1.0007144892295,0.03453691931895274,0.9989488049122789
DEXRAZOXANE,-0.9858632749905999,0.027837385118214902,0.9989488049122789
ALISERTIB,-0.9611432962505001,0.24405773645296058,0.9989488049122789
TEROXIRONE,-0.9535115420703,0.16338066598413903,0.9989488049122789
MLN0128,-0.9454433778699998,0.1703712182629611,0.9989488049122789
TMS,-0.936747617345,0.17870166290505562,0.9989488049122789
METHYLBENZETHONIUM-CHLORIDE,-0.9222120771092854,0.2274956824321176,0.9989488049122789
VALRUBICIN,-0.9215789719250003,0.3954456059054121,0.9989488049122789
GEMCITABINE,-0.9159634704399999,0.3195772125809615,0.9989488049122789
MECHLORETHAMINE,-0.9090207798200001,0.1068714180590387,0.9989488049122789
EMD534085,-0.9075086130648504,0.31056983704804964,0.9989488049122789
OXYPHENCYCLIMINE,-0.8784765201100002,0.0770326084761757,0.9989488049122789
MK-1775,-0.87705277334,0.3490117653921745,0.9989488049122789
SCH-900776,-0.8698494852850001,0.1628287514747665,0.9989488049122789
BMS-387032,-0.86497794823,0.20762480429016172,0.9989488049122789
