gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
IMPDH1	0.85	0.0	1.39	2.13	1.01	0.98	3.09	0.0	3.18
DENND4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEMT	100.0	100.0	99.3	98.1	98.52	100.0	97.47	100.0	95.58
ZMYM3	10.45	2.47	1.79	5.17	4.17	4.11	3.45	1.92	5.07
DGKA	3.68	0.0	1.69	3.42	1.01	0.0	0.0	0.63	2.86
GOLGA1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
LRSAM1	3.92	0.0	1.72	3.37	1.25	2.63	0.0	2.25	1.49
DDX12P	0.0	0.0	0.0	14.52	0.0	0.0	0.0	0.0	0.0
VWA8	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
RANBP10	3.12	0.0	0.0	1.37	2.56	2.17	0.0	0.0	0.0
CCNY	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MAPK12	86.96	100.0	90.91	81.58	86.21	82.47	83.8	88.12	100.0
TLE1	100.0	100.0	96.23	100.0	96.43	100.0		100.0	100.0
PACRGL	100.0	100.0	96.25	100.0	92.86	100.0	93.65	100.0	92.31
CALCOCO1	100.0	100.0	100.0	100.0	100.0		100.0	100.0	100.0
MDN1	100.0	100.0	100.0	100.0	100.0	100.0	100.0		100.0
ZDHHC4	9.57	7.87	4.29	0.0	5.19	11.11	8.82	7.69	7.31
AC025263.3	8.54	7.94	9.59	5.24	1.43	7.69	5.0	1.79	3.51
RAB3IP	8.54	7.94	9.59	5.24	1.43	7.69	5.0	1.79	3.51
SLTM	43.44	46.07	34.78	52.57	30.71	36.09	39.5	37.1	30.53
EXOC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSBN1L-AS1	8.0	10.0	25.0	0.0	18.68		4.72	14.29	11.76
DLG5	76.47	67.47	65.38	67.65	79.63	66.04	64.06	75.86	69.47
GAPDH	78.79	88.24	83.87	83.87	56.76	88.37	90.87	81.94	100.0
TMEM102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MNF1	0.0	0.0	0.0	0.0	0.7	0.4	0.0	1.11	0.0
ANP32E	94.59	97.26	97.98	96.77	96.49	97.8	97.09	94.74	94.94
PPP6R2	0.0	0.0	0.0	1.72	0.0	7.03	2.14	0.0	3.6
COPG1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
BCS1L	100.0	100.0	100.0	99.33	100.0	100.0	100.0	100.0	100.0
RALGAPB	96.43	100.0	100.0	100.0	92.5	100.0	100.0	100.0	100.0
USP19		90.0		70.0	63.64	52.63	76.47		85.19
OTUD7B	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
COG6	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
COX18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0
ENGASE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC8	26.09	27.5	34.04	7.44	16.67	41.07	20.0	38.89	47.83
