gene_name	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
PPCS	73.49	72.22	94.59	77.88	69.7	77.27	73.28
PI4KAP2	91.3	89.47		96.15	96.0	97.22	100.0
NFYC	3.66	3.61	4.55	2.54	0.0	5.74	3.45
BTRC	0.0	2.41	0.0	2.5	1.56	0.0	0.0
GAS6	4.97	4.76	0.0	1.0	3.97	3.02	5.26
PPAT	2.99	0.88		0.0	1.72	0.0	0.81
SLX1A-SULT1A3	3.3	1.37		1.37	2.63	0.76	1.3
SULT1A3	3.3	1.37		1.37	2.63	0.76	1.3
DTNB	90.91	92.0	100.0	100.0		72.73	100.0
USP24	0.0	0.0		3.88	0.0	0.0	0.0
TBCE	100.0	100.0		100.0	100.0	100.0	100.0
ALDH3B1	100.0			100.0	100.0	100.0	
IKBKAP	0.0	0.0		0.0	0.0	0.0	0.0
POLG	8.59	4.3		4.08	12.31	5.1	5.0
OTUD4	69.57	62.07		66.67	71.43	60.0	65.96
PIGH	1.33	1.65	0.24	1.75	0.0	2.07	2.0
JUP	0.0	0.0	0.0	0.0		0.0	
RP11-162P23.2	30.3	29.35		13.33	21.88	6.38	27.27
IFI16	100.0			100.0	100.0		100.0
GDAP2	0.0	0.0		3.85	0.0	0.0	0.0
LDHA	98.72	96.64	100.0	98.14	99.04	98.19	98.97
DCTN6	100.0	100.0	100.0	100.0	100.0	98.95	100.0
LEPROTL1	100.0	100.0	100.0	100.0	100.0	98.95	100.0
XRCC3	0.0	1.3		0.0	0.0	0.0	0.0
SLC20A1	5.08	5.26	0.0	13.69	16.12	9.65	3.63
RNF19A	90.48	100.0		100.0	96.43	85.71	100.0
CHD7		0.0		0.0	0.0	0.0	0.0
AKTIP	0.0	0.75	0.0	0.0	0.0	0.0	0.96
ANKRD17	0.0	1.48	0.0	0.82	3.3	0.0	1.35
CDK12		96.49		96.77	98.19	100.0	88.57
BTAF1	100.0	100.0		100.0	100.0	100.0	100.0
TRMT10B	0.0	0.0		3.7	0.0	0.0	
SLC35B3	9.0	0.0		0.0	15.0	6.52	1.23
LETM1	8.7	5.64		12.0	7.32	5.08	6.35
FAM160B2	91.18	90.32		97.06	88.24	95.83	92.86
CCDC132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEP1	0.0	0.0		1.59	0.0	2.56	0.0
SCYL3	0.0	0.0		4.88	0.0	0.0	0.0
KIAA1033	0.0	2.06		0.0	0.64	0.0	0.0
LTBP4	30.1	63.82		85.4	70.79	86.26	63.11
MPDU1	11.73	11.8	4.55	8.72	9.32	24.6	11.41
VRK1	2.18	0.87	1.56	0.9	2.49	1.05	0.78
ABTB2	6.06			0.0	0.0	0.0	0.0
EFCAB7	0.0	0.0		0.0	0.0		0.0
NT5C2	97.96	100.0	100.0	100.0	100.0	96.73	100.0
DIAPH3		0.0		0.0	0.0	0.0	0.0
ARL6IP4	32.32	15.01	32.5	23.98	19.74	15.93	17.61
REPS1	5.13	7.38		3.77	6.0	4.88	11.11
NF1	0.0	0.0	0.0	0.0	0.0	2.11	0.0
HEXDC	0.0	0.0		0.0		4.55	
SYNGAP1	100.0	77.27		84.21	75.0	100.0	100.0
PTRH1	3.57	2.17	0.0	0.81	0.0	1.21	5.8
ARHGAP12	5.0	2.78	6.67	3.64	4.55	1.79	1.85
CLCC1	4.44	6.45		5.06	6.38	6.82	6.6
ZFYVE21	90.91	95.96	100.0	95.86	92.86	97.48	100.0
MSTO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSTO2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBCK1	38.1	41.67	6.43	35.71	36.36	40.0	10.34
GINS4	29.41	35.48		22.22	20.0	28.0	16.33
PARP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSTO2P	82.35	80.77		77.42	82.76	100.0	85.29
PPP6R2	100.0	100.0		100.0	100.0	100.0	100.0
PKD1	89.47	100.0		100.0	100.0	100.0	100.0
KRT10	3.53	4.84	7.61	6.42	4.9	2.41	6.96
MED11	0.0	0.0	0.0	9.68	0.0	0.0	0.0
PLEKHG2	100.0	100.0		100.0	100.0	100.0	100.0
TRERF1	9.09	23.81			20.83	19.51	14.29
CD44	2.89		30.11	0.73	5.01	35.02	4.68
ALG13	82.14	100.0		100.0	100.0	75.0	55.56
BRD2	34.09	42.39		28.69	41.56	42.48	48.0
C1orf35	2.7	1.04	0.0	0.0	1.27	2.42	2.42
GNB2L1	72.73	79.27	78.95	79.79	100.0	77.42	73.81
DZIP3	96.45	98.89	95.54	94.68	96.69	99.15	97.41
KBTBD4		13.64		0.0	0.0	19.05	0.0
ENOSF1	35.71	22.58		31.25	75.0	10.0	22.22
CELF1	30.95	29.43	30.85	43.54	40.53	41.99	76.0
SLC25A29	0.0	1.96		3.7		9.68	
MUTYH	100.0	100.0		100.0	100.0	100.0	100.0
MATR3	97.3	97.01		97.82	98.63	100.0	97.23
CRLF3	18.42	23.85	92.16	16.22	8.47	15.56	9.89
PPP1R12C		100.0		100.0		100.0	100.0
MAGOHB	4.87	6.4	3.97	10.35	6.83	3.69	4.33
CEP170	55.93	69.63		73.94	75.0		70.45
ARHGEF17	100.0	100.0		100.0	100.0		
LRRC27	0.0	0.0		0.0	0.0	0.0	0.0
PCNT	79.41	89.47		100.0	94.29	100.0	88.46
FBXW5	1.92	0.32		0.29	1.59	0.0	3.25
NPIPB4	82.61	97.67		87.5	90.62	96.7	88.89
FKBP9	0.0	4.35		0.61	1.01	3.48	2.7
MYH9	99.7	100.0	95.24	99.83	99.6	99.82	99.82
ALDH7A1	0.0	0.18	0.0	0.0	1.34	0.0	0.22
TBC1D10B	0.0	0.0	10.0	0.0	0.0	0.0	0.0
C14orf79	58.33	50.0		40.0	40.0	48.15	42.86
USP11	98.46	99.44	100.0	98.77	97.52	94.74	99.06
HJURP	6.88	6.59		6.15	13.47	9.85	5.88
ZNF445	100.0	100.0		100.0	100.0	100.0	100.0
INO80E	83.72	100.0		88.57		80.77	85.0
RP11-77H9.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HERC1	0.0	0.0		0.0	0.0	0.0	0.0
DDX19A	3.49	2.81		1.33	1.61	3.81	1.56
DAP3	95.25	98.23	100.0	95.01	96.12	95.94	97.81
TANGO2	26.67	27.78		18.75	27.78	29.17	28.57
RHOT1	0.0	0.0		0.0	0.0	0.0	0.0
TUBG2	100.0	100.0		100.0	100.0	100.0	
DLG5	0.0	0.0		0.0	0.0	0.0	0.0
PRMT2	0.0	0.0		0.0	0.0	0.0	0.0
C5orf15	2.33	3.08	1.19	1.79	0.99	1.92	2.17
TNIP2	0.0	2.86		0.5	1.74	1.71	2.08
RASAL2	15.09	31.25		44.07	36.23	43.33	
RBCK1	3.29	5.59	1.82	2.35	2.73	3.11	2.8
GTF3C1	100.0	100.0		100.0	100.0	100.0	100.0
CDCA3	10.55	2.74	1.75	3.06	3.64	5.24	2.54
RP11-51F16.8	10.71	6.86		6.94	5.45	6.25	5.56
STRADA	10.71	6.86		6.94	5.45	6.25	5.56
CLMN	0.0	0.0	0.0	0.0		0.0	
NECAB3	6.45	5.88		0.0	4.17	5.56	7.41
ZGPAT	3.74	0.0	0.0	1.3	1.89	0.0	1.6
NEU1	4.49	3.66	0.0	4.4	4.88	3.12	3.39
PSMA4	98.71	99.3	97.86	99.74	99.13	100.0	98.41
C2CD5	100.0	100.0		100.0	100.0	100.0	100.0
NUPL2	0.0	2.52	0.0	2.95	6.35	2.56	2.91
HMGB2	0.42	0.74	0.53	0.86	1.09	0.54	0.42
CD58	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B9D1	12.12	16.49	4.05	20.0	17.78	29.63	14.29
RNASET2	0.0	0.93	0.0	1.43		1.14	
PHLPP1		0.0		0.0	0.0	1.72	0.0
AP3D1	92.86	94.23	100.0	95.33	92.81	90.24	93.6
PGM3	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ZFP62	16.67	0.0	0.0	0.0		0.0	0.0
SLC35A3	100.0	100.0		100.0	100.0	100.0	100.0
RP11-1407O15.2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
EVL	4.07	0.0		0.0	0.0		
POMT2	1.92	0.79		0.53	2.86	0.0	0.0
PIKFYVE		89.47		88.0		100.0	100.0
NACC2	1.33	1.52		1.19	0.0	4.0	0.0
GSTP1	0.2	0.1	0.0	0.1	0.18	0.1	0.06
EMC3	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SP100	98.1		98.21	98.66	98.53	100.0	97.73
PLOD2	96.49	100.0		82.88	97.56		
ARHGAP26	0.0		0.0	0.0		0.0	
CPPED1	0.0	0.0		0.0		0.0	
SLK	0.0	0.0		0.0	0.0	42.31	0.0
ZDHHC9	3.92	0.0	0.0	0.0	0.0	3.08	0.0
HIP1	4.11	2.74		1.52	0.0	2.04	3.28
TRIM74	4.11	2.74		1.52	0.0	2.04	3.28
VPS45	97.03	91.51		97.33	93.83	100.0	100.0
SCAF1	100.0	100.0		100.0	96.43	100.0	96.4
KANSL3	8.86	3.66		5.59	3.23	15.04	4.59
HEATR2	0.0	0.0		0.0	0.0	0.0	0.0
KIAA0319L	0.0	0.0		0.0	0.0	0.0	0.0
NNT	36.61	50.59		62.75	69.64	76.47	46.15
RCC1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SNHG3	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KIF14	0.0	0.0		0.0	0.0	0.0	0.0
CHD3	49.66	62.63		51.07	40.16	64.52	40.46
KIF11	100.0	100.0		100.0	98.41	100.0	100.0
RPL23	100.0	100.0		100.0	100.0	100.0	100.0
KIF23	97.91	98.31	100.0	99.74	98.4	100.0	98.54
GPAA1	100.0	100.0		100.0	100.0	100.0	100.0
NADSYN1				0.0	0.0	6.98	0.0
TNPO2	100.0	95.45		98.85	100.0	92.59	93.59
POLRMT	0.0	0.0		0.0	0.0	0.0	0.0
CC2D1B	0.0	0.0		0.0	0.0	0.0	0.0
RAB1A	98.19	99.53	100.0	99.35	100.0	99.15	99.51
VPS13B	0.0	0.0		0.0	0.0	0.0	0.0
NCBP1	2.8	0.82	0.0	2.29	0.93	2.76	0.96
STK32C	3.39	1.82		2.86	6.25	0.0	
LARP4	100.0	93.59		97.06	97.18	93.62	95.65
IFT81	25.0	56.06		50.0	57.14	26.67	55.81
FAM53B	85.42	90.77		91.3	100.0	96.9	63.64
RP11-12J10.3	85.42	90.77		91.3	100.0	96.9	63.64
TDRD3		100.0		100.0	100.0	100.0	100.0
ZNF823		100.0		100.0		100.0	93.55
DENND5A	97.78	90.27		96.47	90.2	100.0	95.12
OSGIN1	100.0			100.0	100.0	100.0	100.0
GPR125	0.0	0.0		0.0	0.0	0.0	0.0
RPL3	0.92	0.5	0.18	0.45	1.71	0.6	0.69
SIAE	4.94	13.79		23.33	26.32	21.69	8.62
DIAPH2		0.0		0.0		0.0	0.0
KLHL18	17.24	8.82		7.14	10.53	14.29	6.12
IQCE	95.24	100.0		100.0	100.0	97.56	100.0
MED23	4.44	5.0		0.0	2.94	7.14	0.0
DNAJB2	12.5	0.0		4.55	5.88		
LSM14A	2.9	0.0	0.0	1.3	0.0	4.0	0.0
FBXW2	42.86	67.86		54.55	70.83	57.81	53.12
SACM1L	0.0	0.0		0.0	0.0	0.0	0.0
HSD17B7	3.33	0.0	0.0	2.17	0.0	0.0	0.0
RPL28	28.0	68.97		49.33	66.67	80.49	58.93
CCDC125	20.0	34.78		15.79		40.0	
PRUNE	100.0	97.18		100.0	100.0	100.0	100.0
TAF1C	10.84	7.35		3.12	6.78	9.02	6.78
CUL3	0.93	0.72	0.0	0.52	1.08	1.92	0.44
SMG6	100.0	100.0		100.0	100.0	100.0	100.0
RGPD5	0.0	0.0		0.0	0.0	0.0	0.0
SRGAP2C	0.0	0.0		2.8	0.0	0.0	0.0
NPIPB5	60.27	67.82		68.42	72.41	68.69	66.67
PRPF4	4.82	2.2		1.12	1.6	3.67	0.68
CSNK1G2	100.0	100.0	100.0	100.0	100.0		100.0
FEM1C	7.14			4.35		13.79	16.0
PDCD2	100.0	100.0	100.0	100.0		100.0	100.0
GSTA4	7.77	10.74		14.29	10.53	12.35	10.53
ANKRD27	100.0	100.0		100.0	100.0	100.0	100.0
RFTN1	5.56	5.0		0.56	1.99		2.94
OCEL1	73.17	84.62	70.63	81.08		75.0	77.78
RC3H1	0.0	0.0		0.0	0.0	0.0	0.0
DUSP22	0.0		9.09	12.0	0.0	0.0	0.0
EXOC3	68.42					38.57	
VPS13C	0.0	0.0		0.0	0.0	0.0	0.0
WDR41	3.39	1.31	0.64	1.12	1.06	3.05	0.66
C16orf70	100.0	100.0		100.0	100.0	100.0	100.0
IMPA2	3.35	0.9		0.0	8.0	1.19	2.38
ADAP1		0.0	0.0		0.0	0.0	
COX19		0.0	0.0		0.0	0.0	
ST7L	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ABCD3	2.0	0.0		1.15	1.45	0.99	0.77
RABGGTA	94.12	100.0		100.0	100.0	100.0	100.0
TMEM175	58.82	70.0		41.18	33.33	73.33	50.0
WDFY3	5.71	3.85		2.13	0.0	0.0	0.0
RP5-977B1.7	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MYO5A	100.0	100.0		100.0	100.0		100.0
KIAA1967	18.85	26.36		24.2	21.66	3.72	27.2
HMGXB3	100.0	100.0		95.0	100.0	100.0	100.0
CNOT10	100.0	100.0	95.35	100.0	100.0	97.78	100.0
DMAP1	63.33	73.33		84.38	83.02	72.73	68.0
DEF8	0.0	0.0		0.0	0.0	0.0	0.0
ZC3H12A	8.51			2.55	6.14	14.29	10.0
MRPL49	99.22	99.2		98.04	99.21	99.76	100.0
ZNF865	8.33	29.41	0.0	28.0	26.67	9.2	10.87
XPOT	95.67	96.5	100.0	94.56	97.68	94.57	95.32
KMT2E	97.56	100.0		100.0	100.0	100.0	100.0
UBB	5.97	5.76	7.88	5.83	5.91	5.63	5.7
NUSAP1	0.0	0.0	20.83	0.0	0.0	0.0	0.35
EIF3D	76.47	81.25		70.0	71.43	66.67	52.38
SNX15	100.0	100.0		100.0	100.0	100.0	100.0
SPCS3	0.0	2.29	0.75	1.72	1.87	1.59	1.87
NARG2	100.0	100.0		100.0	100.0	100.0	100.0
ZNF653	0.0	0.0		0.0	0.0	0.0	0.0
DDX12P	94.44	86.11		94.29	96.77	100.0	100.0
HTT	0.0	1.63		1.18	2.41	13.64	1.33
PSRC1	0.0	15.62		5.0	4.84	0.0	5.71
LARS2	100.0	100.0		100.0	100.0	100.0	100.0
RPL9	5.04	7.92	5.88	7.14	8.33	6.67	9.2
CAD	0.0	0.0		0.0	0.0	0.0	0.0
TFG	0.34	0.0	0.0	0.2	0.35	0.54	0.17
NCAPG2	5.61	6.7	2.15	2.32	11.92	17.12	5.83
UNC119	0.0	2.5	0.0	0.0	0.0	0.0	0.0
FOXP4	100.0	100.0		100.0	96.3	100.0	100.0
RBBP8	0.86	0.0	0.0	0.0	0.0	0.0	3.87
TJAP1	0.0	0.0		0.0	0.0	0.0	0.0
XPA	0.0	0.0	0.0	1.89	0.0	0.0	0.0
CRLF3	2.27	4.12	8.33	2.74	1.33	4.0	0.88
TMEM241	86.0	100.0		84.75	78.79	80.77	96.77
ALG3	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MYO18A	100.0	100.0		100.0	100.0	98.96	100.0
DAG1	3.81	4.55		1.59	0.0	1.4	1.92
LEMD3	100.0	100.0		100.0	100.0	100.0	100.0
PPIP5K2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MED18	11.36	12.82		13.46	16.33	18.6	10.26
TNPO1	0.0	0.0		0.0	0.0	0.0	0.0
MYOF	1.09		11.54	0.98	1.89	1.13	1.66
ARAP1	100.0	100.0		100.0	100.0	100.0	100.0
CHD6	4.0	2.0		1.41	0.0	10.34	0.0
RNPEPL1	1.59	1.37		1.22	1.54	0.87	1.28
CNOT1	70.31	72.46		74.43	70.73	78.89	60.13
TM7SF3	1.67	3.15		1.78	6.25	2.22	2.44
AGO4	100.0	100.0		100.0	100.0	100.0	100.0
VARS2	5.0	2.38		2.94	0.0	0.0	0.0
RNF185	88.52	87.23		89.58	86.67	96.23	93.94
ZNF76	5.56	6.25		5.88	4.35	0.0	0.0
ACER3	6.06	0.0	7.69	1.91	0.0	2.78	4.44
RPS6KA5	100.0	100.0		100.0	100.0	100.0	100.0
ZDHHC20	100.0	100.0		100.0	100.0	100.0	100.0
CHKB-CPT1B	0.0	0.0		0.0	0.0	0.0	
CPT1B	0.0	0.0		0.0	0.0	0.0	
VWA8	93.85	100.0		100.0	100.0	100.0	100.0
SLC30A6	55.17	48.72		32.76	40.48	79.49	32.56
BANP	0.0	2.78		0.0	0.0	0.0	1.43
PIGB	100.0	100.0	100.0	100.0	100.0	100.0	100.0
FAM72A	90.0	92.0	100.0	92.71	94.12	92.31	87.5
NUP133	0.0	0.0	5.88	0.0	0.0	0.0	0.0
NAP1L1	0.0	0.5	2.38	0.28	0.0	1.75	0.0
COQ4	2.5	4.0		4.69	3.33	2.93	1.68
REPIN1	79.07	81.82		100.0	81.82	85.0	85.29
CBWD2	27.27	19.05	35.37	13.64	14.29	10.53	14.81
HDAC10	52.29	100.0	100.0	96.36	94.87	100.0	88.14
ACADM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NFX1	12.0	9.71	15.38	11.32	14.29	17.86	9.2
NUDT22	1.94	1.82	0.0	0.0	0.0	2.42	2.7
DNAJC1		100.0		100.0	100.0		100.0
CTD-3232M19.2	0.0	0.0		0.0	0.0	0.0	0.0
CLEC16A	100.0	100.0		94.37	100.0	100.0	100.0
FGFR1OP2	52.17	10.2	2.43	9.19	15.38	55.64	51.12
REXO1	96.25	100.0		97.7	96.15	88.16	94.07
BDH1				90.48		96.32	
TOM1	93.15	96.88		96.55	97.22	94.12	91.04
ALG6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAT1	0.88	0.0		0.0	0.0	0.0	0.81
STK11IP	0.0	3.08		2.86	2.86	2.27	3.45
TP53BP2	0.0	0.0		0.0	0.0	0.0	0.0
TROVE2	83.33	88.89		100.0	73.08	100.0	80.0
WDR18	90.7	97.52	94.38	95.54	100.0	100.0	88.27
BAG6	3.36	1.28	1.02	1.55	2.58	3.49	1.31
POR	2.78	1.3	0.0	1.18	0.88	3.04	1.01
ZNF302	100.0	100.0		100.0	100.0	100.0	100.0
PAF1	100.0	96.94		98.4	100.0	100.0	93.37
PCNX	0.0	0.0		0.0	0.0	0.0	0.0
CLN5	1.56	2.5	4.76	0.0	0.0	8.77	3.37
MAPK8IP3	100.0	100.0		100.0	100.0	100.0	100.0
MPZL1	0.57	0.85	0.0	0.97	0.8	0.55	0.97
BTAF1	100.0	100.0		100.0	100.0	100.0	96.08
WDTC1	100.0	100.0		100.0	100.0	100.0	100.0
TBL1X	100.0	100.0		100.0	100.0	100.0	100.0
MGRN1	17.65	9.76		8.7		9.09	11.76
PTEN	23.4	2.8	6.9	1.38	1.31	3.37	1.04
SEC23IP	0.0	0.7	0.0	0.0	0.0	0.63	0.0
TBC1D4	0.0	0.0			0.0	0.0	0.0
TUBG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNC13B		100.0		100.0	100.0	100.0	100.0
MED6	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CYB5D1	10.29	6.06		5.88	8.24	6.82	3.85
RALGDS	6.67	0.0		0.0	0.0	0.75	0.0
CXXC5		4.55			7.5	10.64	
CSPP1	0.0	2.78		0.0	1.32	0.0	0.0
CDYL	100.0			100.0	100.0	100.0	90.0
PPFIA3	62.5	50.0		40.0		36.0	62.96
NCOA3	1.12	2.13		0.0	0.0	0.0	0.0
TAB1	0.0	1.03		0.0	0.0	1.2	0.0
SPTBN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENPA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM104A	79.1	69.7	100.0	86.96	81.48	84.48	64.44
CDPF1	0.0	15.0		0.0	0.0	0.0	9.52
VMP1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CLASP2	5.45	14.29		8.82	8.57	30.95	10.0
SMIM4	75.24	63.31	60.49	81.54	73.53	76.35	63.73
VGLL4	100.0	100.0				100.0	100.0
MAU2	3.85	0.0		0.0	0.0	1.54	0.0
RIN3	0.0	0.0		0.0	0.0	0.0	
KMT2E	100.0	100.0		100.0	100.0	100.0	100.0
SLC7A11	98.06	97.35	100.0	98.2	100.0	100.0	100.0
ANKRD27	95.05	95.96		100.0	95.41	98.31	100.0
SMC3	93.33	100.0		97.62	97.16	100.0	91.46
XPO5	2.48	0.39		1.02	1.94	3.6	0.0
SUZ12	100.0	100.0		100.0	100.0	100.0	100.0
PFDN6	37.5	44.44		40.0		32.0	23.68
MFSD11	100.0	95.77	100.0	94.12	93.1	100.0	100.0
AC012146.7	4.0	17.95	0.58	25.0	5.49		4.62
ACD	100.0	100.0	86.05	98.2	98.58	97.14	100.0
AHCTF1	0.0	0.0		0.0	0.0	0.0	0.0
ARFRP1	0.0	0.0	0.0	0.65	2.26	0.0	1.03
TFG	29.3	20.8	24.62	28.17	20.95	25.53	23.78
SRGAP2	4.17	4.69		2.35	7.69	10.53	1.92
PLXND1	0.0	0.0		0.0	0.0	0.0	0.99
FANCA	100.0	100.0		100.0	100.0	100.0	100.0
KIAA0195	85.71	77.66		90.91	86.27	89.04	93.75
MYO1B	1.79	0.0		0.71	1.44		
ELMO2	90.0	91.3		92.94	88.89	90.91	100.0
LTBP3	0.64	4.88		0.19	5.97	14.29	24.44
FNBP1L	100.0	100.0		100.0	100.0	100.0	100.0
RBM45	0.0	7.32	1.71	15.15	0.0	8.16	5.45
MPND	5.0	5.33		7.89	13.04	7.14	5.33
SLC38A1	12.86	5.88		9.43	7.06	35.86	11.5
PTPN1	19.33	43.02	18.75	21.4	21.91	25.45	22.58
ZFAT	100.0	100.0		100.0	100.0	100.0	100.0
TP53BP1	100.0	100.0		100.0	100.0	100.0	100.0
ARL6IP1	0.0	0.0	0.0	0.22	0.0	0.04	0.0
RP11-1035H13.3	0.0	0.0	0.0	0.22	0.0	0.04	0.0
COPS2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
OLA1	0.0	0.0	0.33	0.0	0.0	0.22	0.0
LZTS2	6.94	1.82		0.0	0.0	17.0	0.0
SPCS2	98.76	100.0	100.0	100.0	100.0	100.0	99.01
TBL3	95.24	95.24		100.0	100.0	95.65	96.0
TUBGCP4	0.0	0.53	0.0	0.0	0.0	0.62	0.0
MKI67	2.65	1.74		2.67	1.39	0.79	0.96
ATG2A	97.62	100.0		95.59	100.0	98.21	100.0
SPG11	18.42	0.0		6.49	0.0	6.33	0.0
CSAD	100.0	100.0		85.71	100.0	93.33	100.0
NAA25	95.24	96.51		100.0	100.0	100.0	96.05
C8orf82	0.99	0.83		0.76	0.88	0.56	0.71
RAP1GDS1	20.83	0.0		17.86	20.0		17.24
POGLUT1	0.0	2.17	0.0	0.0	2.44	0.0	1.85
SLC9A3R2	89.47	100.0	100.0	100.0	97.54	100.0	94.59
EED	75.0	85.71	53.85	83.33	76.0	85.37	64.0
DNAJC10	100.0	100.0	100.0	97.51	98.35	98.17	99.58
APBB3	11.9	8.0		4.35	21.74	0.0	10.71
FRYL	0.0	0.0		0.0	0.0	0.0	0.0
TULP4	6.67	7.14		0.0		6.67	
RSF1	42.31	24.56	92.86	20.0	34.62	37.5	45.13
M6PR	99.76	99.7	87.5	100.0	99.17	99.44	98.48
HINT1	3.27	5.0	1.49	7.92	14.55	17.19	9.62
DMPK	0.0	3.55		3.3	6.38	3.09	0.0
CD44	0.75		17.16	0.1	1.0	21.97	0.5
PPP2R2A	100.0	100.0		100.0	100.0	100.0	100.0
TIA1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ATXN2L	95.18	98.06	81.4	97.35	95.29	90.1	94.74
ERCC2	0.0	2.4	0.0	0.0	0.0	1.8	0.0
RUFY2	2.56	1.31	2.25	0.79	2.24	2.04	1.32
CTNS	0.0	0.0		0.0	3.85	0.0	0.0
KIAA0226		6.45		9.52	0.0	3.57	4.88
TP53I3	30.77	19.33		32.32	37.68	31.11	33.69
C1orf50	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CERS4	0.0	0.0		0.0			
NDC80	1.09	1.12	1.48	1.28	0.91	4.52	1.97
LLGL1	100.0	100.0		100.0	100.0	100.0	100.0
ATG9A	51.52	55.0		38.89	42.55	29.55	80.0
C11orf80	100.0	92.59		96.15	94.44	100.0	100.0
TMEM99	0.0	0.0	0.0	0.0	0.0		0.0
TRERF1	0.0	0.0			0.0	0.0	0.0
DCAKD	100.0	100.0		100.0	100.0	100.0	100.0
PRKDC	0.0	0.38	0.0	0.0	0.0	0.0	0.0
ACOX3	0.0	0.0		2.5	3.12	0.0	0.0
APEH	11.11	5.56		0.0	0.0	7.69	9.09
IDH3A	1.6	0.74	0.0	0.0	0.0	0.94	0.34
FHOD1	11.72	5.56		5.47	8.85	19.0	8.84
SETD6	29.03		27.78	16.67	15.0	23.81	13.95
NFYB	0.0	5.88			0.0	0.0	0.0
MRS2	0.0	0.0	0.0	0.0	4.0	0.0	0.0
CDC25B	2.14	0.57	0.0	0.28	1.0	0.71	0.42
THAP6	86.49	90.32		91.3	100.0	100.0	88.57
UFM1	99.46	98.25	100.0	100.0	98.55	99.33	98.63
CHD1	0.0	0.0		0.0	0.0	0.0	0.0
UBE4A	100.0	100.0	100.0	100.0	100.0	100.0	94.92
NCAPG	2.38	2.27	3.57	3.52	1.28	3.85	2.58
SLC36A4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLOD2	22.73	0.0		6.38	10.44		
PCNT	100.0	100.0		100.0	100.0	100.0	100.0
SLC3A2	77.78				100.0	100.0	84.21
LINC00969	3.23	1.0		8.93	2.13	5.52	8.26
SDHAP2	3.23	1.0		8.93	2.13	5.52	8.26
TRMT10B	33.33	23.08		18.0	0.0	17.39	25.0
RAB18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SBF1	3.37	2.11		0.81	0.0	2.56	0.0
PIBF1	100.0	100.0	100.0	100.0	100.0	100.0	96.49
TELO2	1.06	1.27		0.0	0.95	1.97	1.22
KIF23	98.27	97.3		100.0	97.64	96.81	100.0
ENKD1		7.69	0.0	0.62	2.15	0.0	1.0
VPS39	100.0	100.0		94.93	97.14	84.91	100.0
MARCH5	2.38	2.78	2.62	2.07	2.31	3.28	3.17
DLGAP4	0.0	0.0	0.0	1.75	0.89	0.0	2.75
CPT1A	0.0	0.0		0.0		0.0	0.0
WLS	2.78	1.7	0.0	0.93	0.93	1.6	0.87
EP400NL	40.0	33.33		35.71	17.65	10.0	29.27
RTEL1	11.76	2.94		1.47	2.78	3.45	5.45
RTEL1-TNFRSF6B	11.76	2.94		1.47	2.78	3.45	5.45
ADAL	0.0			1.54	0.0	0.0	0.0
NFYB	10.84	20.15	10.0	15.13	11.65	5.38	15.48
GMPR2	100.0	100.0		100.0	100.0	97.09	98.76
UNC45A	41.35	62.7		51.08	68.97	38.24	52.59
ARMCX5		46.0		50.0	47.83	46.27	44.26
RP4-769N13.6		46.0		50.0	47.83	46.27	44.26
PIEZO1	64.38	67.9		38.3	65.41	67.8	59.55
ST3GAL3	1.82	0.0		0.97	1.96		1.92
ESYT2	96.59	100.0	100.0	100.0	100.0	100.0	100.0
TUBB2A	95.88	100.0		94.9	96.67	92.31	97.57
DHX40	1.2	0.86	0.0	1.42	1.12	1.09	0.97
ANKRD40	96.05	95.62		97.81	95.12	88.66	98.21
ACTR10	100.0	98.29	100.0	100.0	100.0	100.0	100.0
