gene_name	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
ENGASE	0.0	0.0		0.0	0.0	1.84	0.0
ERCC8	25.0	26.67	0.0	18.82	32.43	47.06	30.43
TSC22D3	0.0	0.0		0.0	0.0	0.0	
ZXDC	4.08	3.19		2.54	2.08	2.33	3.0
ANKH	4.48	25.0	0.0	3.42	14.29	2.12	17.31
MED16	0.0	0.0		0.0	0.0	0.0	0.0
TMEM2	98.44	100.0		100.0	100.0	94.86	100.0
SPG11	100.0	100.0		100.0	100.0	94.92	100.0
PPP4R1	3.64	2.9		1.75	0.0	0.0	1.65
STAG2	100.0	100.0		100.0	100.0	100.0	100.0
NGLY1	68.18	89.87	59.38	87.8	87.5	73.47	77.61
TCTN3	100.0	100.0		100.0	98.02	95.96	100.0
MTHFD1L	1.11	0.72	0.0	1.11	1.41	1.06	1.54
LZTS3	0.0	0.0		0.0	0.0	0.0	0.0
TMEM194A	6.52	14.0		9.84	9.88	34.38	16.28
CCNF	1.63	0.0		0.0	0.0	1.25	0.0
UBE2E2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
OSBPL3	0.0	5.26		2.22	0.0	1.05	0.85
TK1	98.03	95.33	91.3	98.98	98.01	95.25	98.52
SSFA2	2.63	2.56	3.12	0.74	2.13	4.54	1.73
LRRFIP2	6.82	0.0		0.43	0.0	0.0	0.0
DCAF8	76.32	72.81		54.84	70.0	73.96	58.21
ABHD17B	0.0	0.0		0.0	0.0	0.0	0.0
ARHGAP27		0.0				1.61	
C2CD3	0.0	0.0		0.0	0.0	0.0	0.0
CIT	100.0	100.0		100.0	100.0	100.0	100.0
MARS	100.0	89.66	71.6	87.5	100.0	100.0	100.0
PPWD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL15	12.27	19.82	9.88	25.64	31.25	19.51	20.37
ERI3	96.91	92.63		93.48	95.7	100.0	92.96
PHB2	52.17	58.33		45.0		67.86	
AXIN1	2.53	23.48		15.65	13.43	24.14	13.73
PAFAH1B1	3.9	2.55	1.36	1.97	2.61	5.05	2.66
RB1CC1	0.0	0.0		0.0	0.0	0.0	0.0
CTTN	0.0	0.0	0.0	0.0	0.0	0.0	0.24
MIB1	100.0	100.0		100.0	100.0	100.0	100.0
BOD1L1	95.77	95.0		94.44	100.0	93.62	94.12
FAM76A	100.0	100.0		100.0	100.0	100.0	100.0
NDUFAF5	1.56	6.67	0.0	2.06	0.0	5.71	4.41
CDK12	40.74	38.36		32.26	43.33	38.0	40.74
SLC35D1	100.0	100.0		100.0	100.0	100.0	100.0
WDR59	100.0	100.0		100.0	100.0	100.0	100.0
C9orf9	100.0	100.0	100.0	100.0			100.0
WDFY3	100.0	100.0	100.0	100.0	100.0	100.0	100.0
DUS4L	18.18	4.76	0.0	12.12	10.0	12.5	10.83
IFIH1	100.0	100.0	100.0			100.0	100.0
SHPK	2.33	7.14		0.0	15.0		0.0
TRPV1	2.33	7.14		0.0	15.0		0.0
HERC1	100.0	100.0		100.0	100.0	100.0	100.0
NOP16	7.35	5.4	4.98	5.4	5.04	6.52	5.45
TCIRG1	0.0	2.86	0.0	0.57	2.77	1.21	1.4
TTLL5	0.0	0.0		0.0	0.0	0.0	0.0
OSBPL3	0.0	0.0		0.0	0.0	0.0	0.88
RNF40	7.22	2.76		0.0	0.83	2.61	1.71
GRIPAP1	95.16	95.91		98.29	100.0	94.83	88.2
PEX6	100.0	100.0		100.0	100.0	100.0	100.0
MAPK8	0.0	0.0	0.0	2.02	0.51	1.39	0.0
AC024560.3	100.0	100.0	100.0	100.0	100.0	100.0	100.0
B3GAT3	7.98	7.95	4.65	9.6	11.76	22.5	3.56
SGSM2	0.0	0.0		0.0	0.0	0.0	0.0
POLL	34.48	17.89		8.7	23.4	18.42	12.12
SUMO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZCCHC6	2.5	0.0		0.0	0.0	6.9	0.0
COBLL1	0.0	1.83			0.0	0.0	0.0
RIPK1	94.79	100.0		100.0	100.0	100.0	100.0
MORF4L2	4.88	4.2		2.23	4.13	6.17	3.19
HINT1	31.25	33.33	2.04	16.92	32.5	26.14	13.25
RHOC	27.27	14.77	14.81	24.23	13.57	26.24	21.48
XPA	88.46	100.0	100.0	78.18	100.0	100.0	100.0
PHPT1		9.09		5.71	9.52	7.29	9.09
RPS15	99.87	99.73	99.9	99.69	99.63	99.78	99.83
DDX55	100.0	95.07		100.0	100.0	100.0	100.0
STAMBP	100.0		100.0		100.0	100.0	100.0
PKD1	14.81	8.06		4.6	19.44	14.81	2.86
DIMT1	1.35	1.57	3.83	0.82	0.0	4.59	2.4
NAA38	2.7	0.0				0.0	0.0
NSUN4	89.72	100.0		89.12	97.98	100.0	98.72
H6PD	8.0	4.0		3.75	4.08	6.98	6.15
MKI67IP	1.9	0.0	0.66	0.52	0.7	0.66	0.47
SCAMP4	0.0	0.0		0.0	0.0	0.0	2.06
ATP11A	100.0	100.0		100.0		100.0	100.0
NTHL1	4.3	2.46	0.0	0.0	4.35	5.68	2.59
NOL8	4.76	3.7		1.75	18.18	4.48	10.26
FLNB	99.82	100.0	100.0	100.0	100.0	100.0	100.0
DHRS13		2.56		1.56	4.17	4.69	0.0
SDHAP1	0.0			0.0	0.0	0.0	0.0
CTC-457E21.3	100.0	100.0		100.0	100.0	100.0	100.0
EEA1		6.06		0.0	0.0	0.0	0.0
TCF20	11.86	9.68		5.88	4.76	7.5	5.88
FAM213A	100.0	100.0		100.0		91.8	100.0
MICAL1	5.66	4.35		1.85	3.39	4.26	2.27
CTC-454I21.3	100.0	93.55	100.0		100.0	100.0	
TCIRG1	14.29	23.08	3.03	7.83	11.34	12.96	13.58
SNX30	3.95	13.89	0.0	1.77	2.07	0.42	1.46
SPTAN1	3.95	13.89	0.0	1.77	2.07	0.42	1.46
MYH9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPRKB	3.12	3.7	0.0	0.0	0.0	3.09	0.64
ZNF655	100.0	86.67	93.75	100.0	100.0		90.08
DDX19B	0.0	0.0		0.0	0.0	0.0	0.0
RABGGTB		19.35		8.74	11.65	15.56	0.0
PRKCI	0.0	0.0	0.0	0.0	0.0	0.0	0.82
RNF123	27.69	17.17	1.52	23.4	30.16	25.0	28.57
FAM208A	14.29	3.12		1.19	4.76	5.66	7.35
C19orf12	0.0	0.0		0.0	0.0	0.0	0.0
CUL4A	2.0	2.47		0.79	3.88	6.77	0.58
MAP3K12	1.2	0.0	0.0	0.72	1.28	3.9	0.0
MED13L	1.2	0.0	0.0	0.72	1.28	3.9	0.0
C11orf80	95.16	92.5	82.14	96.55	100.0	92.16	93.67
STAG2	10.78	13.47		11.61	5.88	2.33	11.56
RP11-96H19.1	2.56		4.23	2.5	2.78	2.78	1.4
TERF2	90.79	82.05		87.8	84.34	81.75	85.06
RP11-1407O15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDPK1	100.0	100.0		100.0	100.0	100.0	100.0
RICTOR	0.0			0.0	0.0	0.0	1.49
PAPD4	47.5	50.0		48.54	6.67	34.78	47.73
PI4KA	0.0	5.88		8.77	13.51	5.36	10.71
PPP4R1	96.36	97.1		98.25	100.0	100.0	94.67
YEATS4	81.33	85.81	97.17	72.67	86.07	87.98	88.81
TMEM50B	8.2	4.44	4.17	6.12	0.0	5.94	2.8
RELT	0.0	0.0		0.0	0.0	0.0	0.0
GLG1	97.24	96.96		98.53	98.36	98.26	96.89
PSMD13	98.05	96.59	91.67	97.31	94.52	98.21	92.31
PHF12	100.0	100.0		100.0	100.0	100.0	100.0
RBM27	100.0	100.0		100.0	100.0	100.0	100.0
SMAD4	2.35	0.0		2.38	0.0	2.63	0.0
TGIF1	30.77	61.11		46.67	45.45	70.83	50.0
GBA2	100.0	93.18		87.5	100.0	92.45	91.18
TRMT6	17.95	1.68	0.0	2.06	2.99	0.0	2.65
NIPSNAP3A	0.0	0.0	0.72	0.0	0.0	0.0	0.0
RNF146	13.33	7.41		12.6	12.77	6.06	8.89
SF3A1	97.11	97.94		97.74	99.03	97.21	98.58
PPP1R12C	0.0	0.0		0.0	0.0	1.92	0.0
AREL1	0.0	3.53		4.71	8.33	0.0	7.41
AGAP3	96.75	96.47		98.81	98.77	96.95	97.06
UIMC1	3.37	6.02	1.3	1.42	5.06	6.45	4.97
GOLGA1	0.0	0.0		0.0	0.0	0.0	0.0
